Best hyperparameters: {'node1': 21, 'node2': 7, 'LR': 9.05945733700551e-05, 'DROPOUT': 0.22914679037383173, 'batch_size': 64, 'weight_decay': 0.0004974777308695285, 'EARLY_STOP': 82}
Best trial value: 6.866953492164612

All trials:
Trial 36: {'node1': 12, 'node2': 8, 'LR': 2.6672701693625298e-05, 'DROPOUT': 0.34788176455885855, 'batch_size': 59, 'weight_decay': 0.0007213974751969354, 'EARLY_STOP': 99}, Value: 8.752119183540344
Trial 37: {'node1': 22, 'node2': 7, 'LR': 9.79015683907848e-05, 'DROPOUT': 0.16405001123824697, 'batch_size': 62, 'weight_decay': 1.090702390817256e-05, 'EARLY_STOP': 51}, Value: 8.936419129371643
Trial 38: {'node1': 17, 'node2': 10, 'LR': 3.978032287192952e-05, 'DROPOUT': 0.21895881806312806, 'batch_size': 64, 'weight_decay': 8.181501013156833e-05, 'EARLY_STOP': 32}, Value: 7.141890585422516
Trial 39: {'node1': 14, 'node2': 10, 'LR': 1.5516197582732356e-05, 'DROPOUT': 0.12200431604278483, 'batch_size': 59, 'weight_decay': 2.640687157617635e-05, 'EARLY_STOP': 31}, Value: 8.781562566757202
Trial 40: {'node1': 16, 'node2': 10, 'LR': 3.570861837582128e-05, 'DROPOUT': 0.2192106899843062, 'batch_size': 56, 'weight_decay': 3.878756299350072e-05, 'EARLY_STOP': 45}, Value: 8.712464809417725
Trial 41: {'node1': 17, 'node2': 9, 'LR': 5.363883240375891e-05, 'DROPOUT': 0.2562896530739059, 'batch_size': 64, 'weight_decay': 7.551918265868579e-05, 'EARLY_STOP': 89}, Value: 7.039400696754456
Trial 42: {'node1': 23, 'node2': 10, 'LR': 6.789902114165416e-05, 'DROPOUT': 0.269548138926591, 'batch_size': 61, 'weight_decay': 8.294095483807729e-05, 'EARLY_STOP': 182}, Value: 9.436999559402466
Trial 43: {'node1': 12, 'node2': 9, 'LR': 2.095879013520849e-05, 'DROPOUT': 0.17687242509433604, 'batch_size': 58, 'weight_decay': 6.948208285465851e-05, 'EARLY_STOP': 98}, Value: 8.685031175613403
Trial 44: {'node1': 19, 'node2': 9, 'LR': 3.955140441484401e-05, 'DROPOUT': 0.3016997708243394, 'batch_size': 62, 'weight_decay': 3.749255345261165e-05, 'EARLY_STOP': 122}, Value: 8.664354085922241
Trial 45: {'node1': 8, 'node2': 10, 'LR': 5.0935617657926994e-05, 'DROPOUT': 0.21433627930733778, 'batch_size': 64, 'weight_decay': 0.00012778395354753736, 'EARLY_STOP': 62}, Value: 7.099589824676514
Trial 46: {'node1': 8, 'node2': 10, 'LR': 7.621294190775926e-05, 'DROPOUT': 0.3499392382035229, 'batch_size': 53, 'weight_decay': 0.00010882983354608564, 'EARLY_STOP': 63}, Value: 8.567044734954834
Trial 47: {'node1': 10, 'node2': 10, 'LR': 2.905724656888962e-05, 'DROPOUT': 0.25704373868032987, 'batch_size': 60, 'weight_decay': 1.4841484576920286e-05, 'EARLY_STOP': 17}, Value: 8.871841073036194
Trial 48: {'node1': 15, 'node2': 10, 'LR': 5.724727737338239e-05, 'DROPOUT': 0.2321463100208308, 'batch_size': 57, 'weight_decay': 4.4752146606876434e-05, 'EARLY_STOP': 26}, Value: 9.340968132019043
Trial 49: {'node1': 10, 'node2': 10, 'LR': 8.570907609104566e-05, 'DROPOUT': 0.18987072229397078, 'batch_size': 16, 'weight_decay': 0.0001297986592551497, 'EARLY_STOP': 74}, Value: 8.363925255261934
Trial 50: {'node1': 13, 'node2': 4, 'LR': 1.774280214400365e-05, 'DROPOUT': 0.1525733017542996, 'batch_size': 62, 'weight_decay': 7.090896024694273e-05, 'EARLY_STOP': 54}, Value: 8.885852694511414
Trial 51: {'node1': 17, 'node2': 9, 'LR': 4.572541156256804e-05, 'DROPOUT': 0.21377656866879607, 'batch_size': 64, 'weight_decay': 9.366862293757428e-05, 'EARLY_STOP': 90}, Value: 7.100890696048737
Trial 52: {'node1': 16, 'node2': 9, 'LR': 5.0978999914603244e-05, 'DROPOUT': 0.268485273605853, 'batch_size': 64, 'weight_decay': 8.846284298336095e-05, 'EARLY_STOP': 91}, Value: 7.09136700630188
Trial 53: {'node1': 16, 'node2': 9, 'LR': 4.946480708889451e-05, 'DROPOUT': 0.26697890921898565, 'batch_size': 61, 'weight_decay': 0.0001283440545201487, 'EARLY_STOP': 93}, Value: 9.381779432296753
Trial 54: {'node1': 20, 'node2': 9, 'LR': 6.375518787847625e-05, 'DROPOUT': 0.28859647872852423, 'batch_size': 59, 'weight_decay': 8.764668889826455e-05, 'EARLY_STOP': 102}, Value: 8.949426412582397
