Best hyperparameters: {'node1': 13, 'node2': 4, 'LR': 1.6399771164889416e-05, 'DROPOUT': 0.19616048495645938, 'batch_size': 64, 'weight_decay': 0.00098542294016685, 'EARLY_STOP': 39}
Best trial value: 6.949471473693848

All trials:
Trial 63: {'node1': 24, 'node2': 10, 'LR': 8.555957885675382e-05, 'DROPOUT': 0.023714756554836514, 'batch_size': 48, 'weight_decay': 0.0006310978818435042, 'EARLY_STOP': 85}, Value: 7.462388372421264
Trial 64: {'node1': 17, 'node2': 9, 'LR': 1.7405199902483845e-05, 'DROPOUT': 0.11873023412820477, 'batch_size': 44, 'weight_decay': 0.00037800086723770393, 'EARLY_STOP': 98}, Value: 8.859753036499024
Trial 65: {'node1': 19, 'node2': 5, 'LR': 7.3997625642823085e-06, 'DROPOUT': 0.07240960615037391, 'batch_size': 51, 'weight_decay': 0.0004405828078356759, 'EARLY_STOP': 108}, Value: 8.553172707557678
Trial 66: {'node1': 15, 'node2': 8, 'LR': 4.670935256374299e-05, 'DROPOUT': 0.15589929596570185, 'batch_size': 59, 'weight_decay': 0.0005864126110080341, 'EARLY_STOP': 92}, Value: 8.615336179733276
Trial 67: {'node1': 12, 'node2': 3, 'LR': 2.0675671827482966e-05, 'DROPOUT': 0.17998799609204785, 'batch_size': 64, 'weight_decay': 0.0008194705017310444, 'EARLY_STOP': 124}, Value: 7.11381059885025
Trial 68: {'node1': 11, 'node2': 3, 'LR': 2.0416216474094183e-05, 'DROPOUT': 0.1740314885781937, 'batch_size': 64, 'weight_decay': 0.0009973119204206822, 'EARLY_STOP': 125}, Value: 7.204999029636383
Trial 69: {'node1': 11, 'node2': 3, 'LR': 1.4603488789032346e-05, 'DROPOUT': 0.28161443334791836, 'batch_size': 64, 'weight_decay': 0.0008444549406824643, 'EARLY_STOP': 123}, Value: 7.155798971652985
Trial 70: {'node1': 11, 'node2': 3, 'LR': 1.5057439378044424e-05, 'DROPOUT': 0.18873745058554153, 'batch_size': 62, 'weight_decay': 0.0009243896120279074, 'EARLY_STOP': 139}, Value: 9.069928407669067
Trial 71: {'node1': 11, 'node2': 3, 'LR': 2.2910071312594755e-05, 'DROPOUT': 0.2955082446273101, 'batch_size': 64, 'weight_decay': 0.0007973395760356227, 'EARLY_STOP': 127}, Value: 7.191321074962616
Trial 72: {'node1': 10, 'node2': 3, 'LR': 2.1489008284000866e-05, 'DROPOUT': 0.2918128421306462, 'batch_size': 64, 'weight_decay': 0.0008231858679284103, 'EARLY_STOP': 133}, Value: 7.198125839233398
